Date Time          ,Battery Voltage
2019-01-15 14:04:55,10.22
2019-01-15 14:05:07,10.36
2019-01-15 14:05:19,10.33
2019-01-15 14:05:31,10.3
2019-01-15 14:05:43,10.3
2019-01-15 14:05:55,10.29
2019-01-15 14:06:07,10.27
2019-01-15 14:06:19,10.24
2019-01-15 14:06:31,10.25
2019-01-15 14:06:43,10.24
2019-01-15 14:06:55,10.23
2019-01-15 14:07:07,10.23
2019-01-15 14:07:19,10.21
2019-01-15 14:07:31,10.19
2019-01-15 14:07:43,10.19
2019-01-15 14:07:55,10.17
2019-01-15 14:08:07,10.17
2019-01-15 14:08:19,10.15
2019-01-15 14:08:31,10.14
2019-01-15 14:08:43,10.16
2019-01-15 14:08:55,10.13
2019-01-15 14:09:07,10.12
2019-01-15 14:09:19,10.11
2019-01-15 14:09:31,10.12
2019-01-15 14:09:43,10.12
2019-01-15 14:09:55,10.11
2019-01-15 14:10:07,10.1
2019-01-15 14:10:19,10.08
2019-01-15 14:10:31,10.06
2019-01-15 14:10:43,10.08
2019-01-15 14:10:55,10.06
2019-01-15 14:11:07,10.06
2019-01-15 14:11:19,10.06
2019-01-15 14:11:31,10.06
2019-01-15 14:11:43,10.05
2019-01-15 14:11:55,10.04
2019-01-15 14:12:07,10.04
2019-01-15 14:12:19,10.04
2019-01-15 14:12:31,10.01
2019-01-15 14:12:43,10.02
2019-01-15 14:12:56,10.0
2019-01-15 14:13:08,10.01
2019-01-15 14:13:20,10.01
2019-01-15 14:13:32,9.97
2019-01-15 14:13:44,10.0
2019-01-15 14:13:56,9.99
2019-01-15 14:14:08,9.98
2019-01-15 14:14:20,9.96
2019-01-15 14:14:32,9.95
2019-01-15 14:14:44,9.97
2019-01-15 14:14:56,9.95
2019-01-15 14:15:08,9.93
2019-01-15 14:15:20,9.94
2019-01-15 14:15:32,9.93
2019-01-15 14:15:44,9.91
2019-01-15 14:15:56,9.93
2019-01-15 14:16:08,9.91
2019-01-15 14:16:20,9.9
2019-01-15 14:16:32,9.89
2019-01-15 14:16:44,9.88
2019-01-15 14:16:56,9.89
2019-01-15 14:17:08,9.88
2019-01-15 14:17:20,9.88
2019-01-15 14:17:32,9.87
2019-01-15 14:17:44,9.88
2019-01-15 14:17:56,9.88
2019-01-15 14:18:08,9.86
2019-01-15 14:18:20,9.86
2019-01-15 14:18:32,9.83
2019-01-15 14:18:44,9.84
2019-01-15 14:18:56,9.82
2019-01-15 14:19:08,9.82
2019-01-15 14:19:20,9.82
2019-01-15 14:19:32,9.83
2019-01-15 14:19:44,9.82
2019-01-15 14:19:56,9.82
2019-01-15 14:20:08,9.81
2019-01-15 14:20:20,9.8
2019-01-15 14:20:32,9.81
2019-01-15 14:20:44,9.82
2019-01-15 14:20:56,9.79
2019-01-15 14:21:08,9.79
2019-01-15 14:21:20,9.8
2019-01-15 14:21:32,9.78
2019-01-15 14:21:44,9.79
2019-01-15 14:21:56,9.76
2019-01-15 14:22:08,9.78
2019-01-15 14:22:20,9.77
2019-01-15 14:22:32,9.76
2019-01-15 14:22:44,9.77
2019-01-15 14:22:56,9.75
2019-01-15 14:23:08,9.74
2019-01-15 14:23:20,9.76
2019-01-15 14:23:32,9.75
2019-01-15 14:23:44,9.74
2019-01-15 14:23:56,9.73
2019-01-15 14:24:08,9.71
2019-01-15 14:24:20,9.72
2019-01-15 14:24:32,9.7
2019-01-15 14:24:44,9.71
2019-01-15 14:24:56,9.71
2019-01-15 14:25:08,9.71
2019-01-15 14:25:20,9.71
2019-01-15 14:25:32,9.65
2019-01-15 14:25:44,9.67
2019-01-15 14:25:56,9.69
