timestr                l_enc    r_enc   imu_hdg  pan_ang  ds_mm
20200702-160114.443,       0,       0,   328.4,   50.0,    1329
20200702-160114.739,       0,       0,   328.4,   62.5,    1225
20200702-160115.058,       0,       0,   328.4,   62.5,    1246
20200702-160115.309,       0,       0,   328.4,   62.5,    1238
20200702-160115.560,       0,       0,   328.4,   62.5,    1245
20200702-160115.811,       0,       0,   328.4,   62.5,    1266
20200702-160116.074,       0,       0,   328.4,   62.5,    1236
20200702-160116.325,       0,       0,   328.4,   62.5,    1275
20200702-160116.576,       0,       0,   328.4,   62.5,    1241
20200702-160116.827,       0,       0,   328.4,   62.5,    1302
20200702-160117.077,       0,       0,   328.4,   50.0,    1416
20200702-160117.328,       0,       0,   328.4,   50.0,    1388
20200702-160117.728,       0,       0,   328.4,   37.5,    3000
20200702-160117.989,       0,       0,   328.4,   37.5,    3000
20200702-160118.253,       0,       0,   328.4,   37.5,    3000
20200702-160118.504,       0,       0,   328.4,   37.5,    3000
20200702-160118.847,       0,       0,   328.4,   25.0,    3000
20200702-160119.139,       0,       0,   328.4,   25.0,    3000
20200702-160119.390,       0,       0,   328.4,   25.0,    3000
20200702-160119.640,       0,       0,   328.4,   12.5,    3000
20200702-160119.891,       0,       0,   328.4,   12.5,    3000
20200702-160120.142,       0,       0,   328.4,   12.5,    3000
20200702-160120.392,       0,       0,   328.4,    0.0,    3000
20200702-160120.643,       0,       0,   328.4,    0.0,    3000
20200702-160120.894,       0,       0,   328.4,    0.0,    3000
20200702-160121.145,       0,       0,   328.4,    0.0,    3000
20200702-160121.396,       0,       0,   328.4,  -12.5,    3000
20200702-160121.647,       0,       0,   328.4,  -12.5,    3000
20200702-160122.007,       0,       0,   328.4,  -25.0,    3000
20200702-160122.326,       0,       0,   328.4,  -25.0,    3000
20200702-160122.760,       0,       0,   328.4,  -37.5,    1292
20200702-160123.019,       0,       0,   328.4,  -37.5,    3000
20200702-160123.458,       0,       0,   328.3,  -50.0,    1155
20200702-160123.717,       0,       0,   328.3,  -50.0,    1194
20200702-160123.967,       0,       0,   328.3,  -50.0,    1136
20200702-160124.218,       0,       0,   328.3,  -62.5,    1066
20200702-160124.468,       0,       0,   328.3,  -62.5,    1063
20200702-160124.720,       0,       0,   328.3,  -62.5,    1036
20200702-160125.150,       0,       0,   328.3,  -62.5,    1049
20200702-160125.401,       0,       0,   328.3,  -62.5,    1034
20200702-160125.652,       0,       0,   328.3,  -62.5,    1034
20200702-160125.903,       0,       0,   328.3,  -62.5,    1042
20200702-160126.153,      29,      29,   328.4,  -62.5,    1062
20200702-160126.404,      68,      67,   328.6,  -62.5,    1049
20200702-160126.656,     105,     105,   328.3,  -62.5,    1046
20200702-160126.907,     143,     143,   328.3,  -62.5,    1094
20200702-160127.158,     181,     180,   328.5,  -62.5,    1083
20200702-160127.409,     219,     218,   328.9,  -50.0,    1249
20200702-160127.660,     256,     256,   329.2,  -50.0,    1190
20200702-160127.913,     294,     295,   328.9,  -50.0,    1222
20200702-160128.164,     332,     332,   328.8,  -50.0,    1273
20200702-160128.417,     370,     370,   328.6,  -37.5,    1185
20200702-160128.668,     407,     407,   328.6,  -37.5,    1166
20200702-160128.919,     445,     445,   328.6,  -37.5,    1130
20200702-160129.170,     483,     483,   328.3,  -37.5,    1067
20200702-160129.582,     537,     536,   328.9,  -25.0,     839
20200702-160129.833,     537,     536,   328.9,  -25.0,     883
20200702-160130.084,     537,     536,   328.9,  -25.0,    3000
20200702-160130.365,     537,     536,   328.9,  -25.0,     849
20200702-160130.756,     537,     536,   328.9,  -12.5,    3000
20200702-160131.007,     537,     536,   328.9,  -12.5,    3000
20200702-160131.258,     537,     536,   328.9,  -12.5,    3000
20200702-160131.509,     537,     536,   328.9,  -12.5,    3000
20200702-160131.760,     537,     536,   328.9,    0.0,    3000
20200702-160132.011,     537,     536,   328.9,    0.0,    3000
20200702-160132.262,     537,     536,   328.9,    0.0,    3000
20200702-160132.514,     537,     536,   328.9,    0.0,    3000
20200702-160132.764,     537,     536,   328.9,   12.5,    3000
20200702-160133.018,     537,     536,   328.9,   12.5,    3000
20200702-160133.269,     537,     536,   328.9,   12.5,    3000
20200702-160133.520,     537,     536,   328.9,   12.5,    3000
20200702-160133.778,     537,     536,   328.9,   25.0,    3000
